date,seed,strategy,asset,target_weight
2020-07-21,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999982501541191
2020-07-22,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999974297245008
2020-07-23,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999985283316794
2020-07-24,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999877786462198
2020-07-27,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999558446753977
2020-07-28,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999999171767295
2020-07-29,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999586819815706
2020-07-30,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999950218471675
2020-07-31,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999793249977645
2020-08-03,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999929709930461
2020-08-04,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999160815295478
2020-08-05,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09998861764136921
2020-08-06,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999996325531764
2020-08-07,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999999945334424
2020-08-10,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999069201875636
2020-08-11,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09998853850240012
2020-08-12,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09998808337393472
2020-08-13,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999057918229208
2020-08-14,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999591659536224
2020-08-17,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999623979009258
2020-08-18,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999786871852506
2020-08-19,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999397548361627
2020-08-20,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999903250814561
2020-08-21,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999368008415123
2020-08-24,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999406950493937
2020-08-25,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09998091888121455
2020-08-26,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999986211828124
2020-08-27,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999268328796818
2020-08-28,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.10000000248825201
2020-08-31,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999976710852901
2020-09-01,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09998487803514915
2020-09-02,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999123377640642
2020-09-03,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999940695411756
2020-09-04,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999914393969686
2020-09-08,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999905204318942
2020-09-09,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999758450588324
2020-09-10,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.099993144190348
2020-09-11,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999998442428395
2020-09-14,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.099995899055573
2020-09-15,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999342337043883
2020-09-16,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09998685824870363
2020-09-17,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999804436902815
2020-09-18,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.10000001664735257
2020-09-21,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999281580760114
2020-09-22,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999753619725692
2020-09-23,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999950219601417
