seed,date,strategy,eq_gross,eq_net,rp_gross,rp_net,turnover
19,2023-08-21,Simple + Baseline,2.580146106470735,2.4305477705668066,0.010313204295872323,0.010213070424899747,0.20026774194515287
19,2023-08-22,Simple + Baseline,2.5321307159766726,2.3850732737316993,-0.018609562603313316,-0.018709567195423965,0.2000091842213015
19,2023-08-23,Simple + Baseline,2.583135958952837,2.432865818408182,0.020143210875466774,0.02003818717137612,0.21004740818130438
19,2023-08-24,Simple + Baseline,2.582628021426619,2.432286272879955,-0.00019663600146868447,-0.0002382151633032722,0.08315832366917546
19,2023-08-25,Simple + Baseline,2.595330240371862,2.4440592518758737,0.004918330800974703,0.004840293318754431,0.15607496444054433
19,2023-08-28,Simple + Baseline,2.6207161895030096,2.4679501968403086,0.009781394574090947,0.009775108744232732,0.012571659716429638
19,2023-08-29,Simple + Baseline,2.5894852769337207,2.4384166118389086,-0.01191693808523825,-0.01196684805034204,0.09981993020757789
19,2023-08-30,Simple + Baseline,2.633232104520234,2.479385905635391,0.016894024451961854,0.016801597232224238,0.1848544394752326
19,2023-08-31,Simple + Baseline,2.619337938391955,2.4661169309111655,-0.005276468452753495,-0.005351718219445597,0.15049953338420516
19,2023-09-01,Simple + Baseline,2.6399454302929874,2.4854140281897616,0.00786744298969049,0.0078248914464354,0.08510308651017917
19,2023-09-05,Simple + Baseline,2.587173512362059,2.435435911143758,-0.019989776048163158,-0.020108568020920592,0.2375839455148694
19,2023-09-06,Simple + Baseline,2.5637377675341098,2.412885179987094,-0.009058435669648186,-0.00925942294497639,0.40197455065641025
19,2023-09-07,Simple + Baseline,2.5614453846082124,2.4105259977172135,-0.0008941565533445126,-0.0009777432798906646,0.167173453092304
19,2023-09-08,Simple + Baseline,2.576231786906644,2.424429716496906,0.005772679123780331,0.005767919032136408,0.009520183287845799
19,2023-09-11,Simple + Baseline,2.5848731403833285,2.4323309765948404,0.0033542608707039586,0.0032590180050055635,0.19048573139679004
19,2023-09-12,Simple + Baseline,2.6223229134775057,2.467535848003274,0.01448805069351435,0.014473717494532452,0.028666397963798426
19,2023-09-13,Simple + Baseline,2.6177743108240588,2.4630439699724307,-0.0017345699990147672,-0.0018203901817590012,0.171640365488468
19,2023-09-14,Simple + Baseline,2.6555942193727216,2.4985689990086493,0.014447352620233077,0.014423221618985571,0.048262002495012134
19,2023-09-15,Simple + Baseline,2.6357071011518967,2.479779087127937,-0.007488763936804435,-0.007520269357447063,0.06301084128525489
19,2023-09-18,Simple + Baseline,2.6406019032293524,2.4843518793242816,0.001857111541459469,0.0018440320833743092,0.026158916170319606
19,2023-09-19,Simple + Baseline,2.6201884408173974,2.4650755598072056,-0.007730609595861441,-0.007759093901914821,0.056968612106760776
19,2023-09-20,Simple + Baseline,2.602392547505442,2.448325262921163,-0.0067918371956498655,-0.006795043997496218,0.006413603692705617
19,2023-09-21,Simple + Baseline,2.567139022867822,2.414790855465636,-0.013546582229269351,-0.013696875967989746,0.30058747744079134
19,2023-09-22,Simple + Baseline,2.580935516344113,2.427685241684797,0.005374268145742385,0.0053397527947298155,0.06903070202513868
19,2023-09-25,Simple + Baseline,2.6023856125338853,2.4477766791797873,0.008310977184023738,0.00827596475441246,0.07002485922255657
19,2023-09-26,Simple + Baseline,2.63662249477427,2.4798654796579447,0.013155960467768246,0.013109366042701897,0.09318885013269872
19,2023-09-27,Simple + Baseline,2.6908082119019205,2.530742476084402,0.020551185175369458,0.02051603074593999,0.07030885885893177
19,2023-09-28,Simple + Baseline,2.6925647164346054,2.532342123582533,0.0006527795347566802,0.000632086240796124,0.04138658792111231
19,2023-09-29,Simple + Baseline,2.563908771504671,2.4110886831351057,-0.047781932276189015,-0.047881934797928696,0.20000504347935633
19,2023-10-02,Simple + Baseline,2.5103100055850462,2.360501552046445,-0.020905098697473996,-0.020981032942713154,0.15186849047831805
19,2023-10-03,Simple + Baseline,2.4792441350170376,2.3310937073494395,-0.012375312411173086,-0.012458303478559543,0.16598213477291232
19,2023-10-04,Simple + Baseline,2.4819543615210873,2.333431424542298,0.0010931664476966777,0.0010028413639004555,0.18065016759244437
19,2023-10-05,Simple + Baseline,2.501913287271413,2.3521274280934374,0.008041616743546273,0.00801223612337659,0.05876124033936849
19,2023-10-06,Simple + Baseline,2.512217314882407,2.3617526138219733,0.004118459126227881,0.004092119165643012,0.05267992116973695
19,2023-10-09,Simple + Baseline,2.537455166052574,2.3850687396227377,0.010046046184244433,0.009872382765370407,0.34732683774805373
19,2023-10-10,Simple + Baseline,2.5454363810889746,2.392332136796436,0.0031453619922738214,0.003045361776385318,0.20000043177700738
19,2023-10-11,Simple + Baseline,2.5713588136122114,2.4166646388576773,0.010183885449200215,0.010171038413514228,0.02569407137197408
19,2023-10-12,Simple + Baseline,2.5545808413760804,2.4007936494838527,-0.006524943989657071,-0.006567311458377074,0.08473493744000786
19,2023-10-13,Simple + Baseline,2.548505504243733,2.3950147114417177,-0.002378212908335629,-0.002407094855227293,0.05776389378332747
19,2023-10-16,Simple + Baseline,2.529309308936156,2.376788737720141,-0.007532334254570821,-0.007609963159936247,0.15525781073085346
19,2023-10-17,Simple + Baseline,2.563151217001185,2.4084939915808325,0.013379900965636717,0.013339533866650759,0.08073419797191661
19,2023-10-18,Simple + Baseline,2.54168390903757,2.388288000218641,-0.00837535757594958,-0.008389471359623061,0.028227567346963068
19,2023-10-19,Simple + Baseline,2.5156238322863045,2.3637390544632795,-0.010253075395647264,-0.010278888372388011,0.05162595348149462
19,2023-10-20,Simple + Baseline,2.495944504111286,2.3451524869301927,-0.007822842160440591,-0.007863206176667964,0.08072803245474439
19,2023-10-23,Simple + Baseline,2.4812269762082853,2.331265895578518,-0.0058965765780283445,-0.005921402309259647,0.04965146246260489
19,2023-10-24,Simple + Baseline,2.5155478519042505,2.3633654102030963,0.013832219311275313,0.013769134908831311,0.12616880488800136
19,2023-10-25,Simple + Baseline,2.487067700681311,2.3362876468699056,-0.01132164955692672,-0.011457290191474753,0.2712812690960682
19,2023-10-26,Simple + Baseline,2.4919128486103785,2.3408336765696474,0.0019481367265315047,0.00194583475448011,0.004603944102789613
19,2023-10-27,Simple + Baseline,2.4734473261294023,2.323396333757997,-0.007410179891031784,-0.0074492019600486525,0.07804413803373732
19,2023-10-30,Simple + Baseline,2.487721299380142,2.3365904683345313,0.005770882241942226,0.0056788135475765635,0.18413738873132493
19,2023-10-31,Simple + Baseline,2.4937789768355647,2.3422496965078614,0.0024350305867992853,0.0024220025931048204,0.02605598738892957
19,2023-11-01,Simple + Baseline,2.500777746511883,2.3487079035976843,0.0028064915701545667,0.0027572666993837414,0.09844974154165029
19,2023-11-02,Simple + Baseline,2.5247393787615064,2.3710781598678046,0.009581672055041929,0.009524494823666343,0.11435446275117228
19,2023-11-03,Simple + Baseline,2.575315636554537,2.4180558511766734,0.020032268763455527,0.019812797445482647,0.4389426359457566
19,2023-11-06,Simple + Baseline,2.551683374069245,2.3956184947851016,-0.0091764528393533,-0.009279089389375966,0.20527310004533114
19,2023-11-07,Simple + Baseline,2.5751749346479125,2.417461402285188,0.009206299189544324,0.009117857266353238,0.17688384638217286
19,2023-11-08,Simple + Baseline,2.559222386031112,2.4023627639408227,-0.00619474366660117,-0.006245658495350996,0.10182965749965077
19,2023-11-09,Simple + Baseline,2.560226660610758,2.4031950653651735,0.0003924139555545137,0.00034645118416060734,0.09192554278781277
19,2023-11-10,Simple + Baseline,2.587513404770786,2.4284227722068907,0.010657940790882428,0.010497569342288881,0.3207428971870948
19,2023-11-13,Simple + Baseline,2.577239658241834,2.4187340316173565,-0.003970509489925585,-0.0039897256360882155,0.03843229232526097
19,2023-11-14,Simple + Baseline,2.6203376045926157,2.4587526827295534,0.01672252179301896,0.016545287984986615,0.3544676160646904
19,2023-11-15,Simple + Baseline,2.6103028240188406,2.449336206098676,-0.0038295754547762414,-0.0038297778776284295,0.00040484570437603854
19,2023-11-16,Simple + Baseline,2.6107776159290057,2.4497600430482853,0.00018189150538252386,0.00017304155654652956,0.017699897671988565
19,2023-11-17,Simple + Baseline,2.6629818254356254,2.498723147944922,0.019995655389455108,0.019986898323196972,0.017514132516269928
19,2023-11-20,Simple + Baseline,2.6680645590852174,2.5034919119044248,0.00190866253800307,0.0019084803226099916,0.0003644307861567002
19,2023-11-21,Simple + Baseline,2.670513173347539,2.5057614783183344,0.0009177492553482528,0.00090656031406284,0.022377882570825566
19,2023-11-22,Simple + Baseline,2.677665562807505,2.512472604835652,0.0026782827852520957,0.002678278270053703,9.030396785517872e-06
19,2023-11-24,Simple + Baseline,2.760955709582202,2.5905407198930197,0.031105507697297554,0.031072225387497886,0.06656461959933753
19,2023-11-27,Simple + Baseline,2.788757095909075,2.616600683793972,0.010069479285881002,0.010059661946571737,0.01963467861853042
19,2023-11-28,Simple + Baseline,2.7632799380125412,2.5923991097807915,-0.009135667618347613,-0.009249242409464469,0.22714958223371098
19,2023-11-29,Simple + Baseline,2.7703204868314377,2.598822462881355,0.0025478956084198346,0.0024777639663311874,0.14026328417729414
19,2023-11-30,Simple + Baseline,2.7372914469197878,2.5677184189363462,-0.011922461703854038,-0.01196851435188968,0.0921052960712854
19,2023-12-01,Simple + Baseline,2.7838219527747703,2.611217964459809,0.01699874008934718,0.01694093293200033,0.11561431469370083
19,2023-12-04,Simple + Baseline,2.773987563675324,2.601815255870024,-0.0035326932779029974,-0.0036008899746252966,0.1363933934445987
19,2023-12-05,Simple + Baseline,2.733773961693695,2.563995849501899,-0.014496677096976175,-0.014535777005227398,0.07819981650244819
19,2023-12-06,Simple + Baseline,2.7366044584488294,2.566394580696476,0.001035380684283422,0.0009355441020092207,0.1996731645484028
19,2023-12-07,Simple + Baseline,2.752361321242754,2.5810885961723735,0.005757815217057685,0.005725548045659252,0.06453434279686537
19,2023-12-08,Simple + Baseline,2.7483359231028737,2.5770966991760424,-0.0014625253264576095,-0.0015465943332014418,0.16813801348766472
19,2023-12-11,Simple + Baseline,2.7475603902002987,2.5759921371510504,-0.00028218271866107376,-0.00042860713195026464,0.2928488265783818
19,2023-12-12,Simple + Baseline,2.8056206493162925,2.6302245907565904,0.021131567962282872,0.021053035381357693,0.15706516185035688
19,2023-12-13,Simple + Baseline,2.863812473763215,2.684746786934363,0.020741159166013236,0.020729102894627493,0.024112542771485054
19,2023-12-14,Simple + Baseline,2.8481300694267215,2.669638906437276,-0.00547605839424472,-0.0056273018262323355,0.3024868639752305
19,2023-12-15,Simple + Baseline,2.848265581764299,2.669273457974351,4.757940623293994e-05,-0.00013689059671854336,0.3689400059029666
19,2023-12-18,Simple + Baseline,2.869454893271709,2.688971369145141,0.007439373506133842,0.0073795028800602,0.11974125214728505
19,2023-12-19,Simple + Baseline,2.8850506142367887,2.703414644966826,0.005435081416211786,0.005371301452821615,0.12755992678034359
19,2023-12-20,Simple + Baseline,2.8236637276665304,2.6454240503970228,-0.02127757699200628,-0.02145086943202344,0.34658488003431853
19,2023-12-21,Simple + Baseline,2.881259841333597,2.6992307545935863,0.020397653269663227,0.020339538452630437,0.11622963406558143
19,2023-12-22,Simple + Baseline,2.8826621161075527,2.7003583099666333,0.0004866880639639732,0.00041773211539168083,0.13791189714458474
19,2023-12-26,Simple + Baseline,2.9411292350339897,2.754974141272648,0.020282335067900573,0.02022540160853294,0.11386691873526839
19,2023-12-27,Simple + Baseline,2.9656704363286086,2.7773568122033745,0.008344142447836003,0.008124457720095516,0.4393694554809743
19,2023-12-28,Simple + Baseline,2.9280838982176465,2.7419476989221154,-0.012673875576509624,-0.012749212893955659,0.1506746348920691
19,2023-12-29,Simple + Baseline,2.8902713014789763,2.706302567097533,-0.012913768202368567,-0.012999931340263999,0.17232627579086218
19,2024-01-02,Simple + Baseline,2.8871149892306325,2.703212230663548,-0.0010920470499528926,-0.0011419035223763558,0.09971294484692654
19,2024-01-03,Simple + Baseline,2.807535615760133,2.628465964899745,-0.027563631433920068,-0.027650905436106016,0.1745480043718963
19,2024-01-04,Simple + Baseline,2.8307492401501726,2.6498718558120467,0.00826832766064626,0.008143872204606736,0.24891091207905047
19,2024-01-05,Simple + Baseline,2.8190953185085745,2.6387370150577825,-0.004116903566131396,-0.004202029894329251,0.17025265639570872
19,2024-01-08,Simple + Baseline,2.9172738503417537,2.730496182546205,0.03482625478769548,0.03477389636208726,0.10471685121642968
19,2024-01-09,Simple + Baseline,2.8656186220527613,2.681953197318338,-0.017706677857116868,-0.017778082071002906,0.1428084277720766
19,2024-01-10,Simple + Baseline,2.86845458423493,2.684299257992398,0.0009896509466907658,0.0008747582457462372,0.2297854018890573
19,2024-01-11,Simple + Baseline,2.837221111058623,2.6550048803756106,-0.010888606480983384,-0.010913230903582854,0.04924884519893907
19,2024-01-12,Simple + Baseline,2.806042083022545,2.6257786755891606,-0.010989283815262745,-0.01100796650223681,0.03736537394813038
19,2024-01-16,Simple + Baseline,2.7673138858887327,2.589538399991799,-0.013801716434735677,-0.01380172515462688,1.743978240469077e-05
19,2024-01-17,Simple + Baseline,2.762804799664538,2.585166020168588,-0.0016294090262718379,-0.001688478465206133,0.1181388778685903
19,2024-01-18,Simple + Baseline,2.7373042321699717,2.5611360360131132,-0.009229956274023803,-0.009295334987386062,0.1307574267245194
19,2024-01-19,Simple + Baseline,2.765290885279784,2.587221775740636,0.010224166090455502,0.010185222245410375,0.0778876900902538
19,2024-01-22,Simple + Baseline,2.824119957341019,2.6421421978881474,0.02127409900144476,0.021227566443077387,0.0930651167347453
19,2024-01-23,Simple + Baseline,2.8110897446121474,2.629755804445086,-0.004613902003348172,-0.0046880116645356875,0.14821932237503074
19,2024-01-24,Simple + Baseline,2.837601028935086,2.6543467689265827,0.009430963338595411,0.009351044853644129,0.15983696990256524
19,2024-01-25,Simple + Baseline,2.847247646113476,2.6631679200185587,0.0033995678321310156,0.003323285109256113,0.1525654457498054
19,2024-01-26,Simple + Baseline,2.7984659536709695,2.6173499893288783,-0.017132929237502044,-0.01720429656172832,0.14273464845255432
19,2024-01-29,Simple + Baseline,2.8327243805781572,2.6492504405212634,0.012241859459554274,0.012188072410050526,0.10757409900749526
19,2024-01-30,Simple + Baseline,2.7781756126946617,2.598003784873579,-0.019256645036663196,-0.019343832075611925,0.1743740778974553
19,2024-01-31,Simple + Baseline,2.733820480959607,2.556407114934827,-0.015965560827896345,-0.016011012062777163,0.09090246976163625
19,2024-02-01,Simple + Baseline,2.752546596906207,2.5733749343212278,0.006849797225905111,0.0066373698020448044,0.4248548477206124
19,2024-02-02,Simple + Baseline,2.7619780994674605,2.5818647096162155,0.003426464268344998,0.0032990821437480686,0.25476424919385837
19,2024-02-05,Simple + Baseline,2.7288900326585153,2.5507288587047645,-0.0119798440166217,-0.012059443237085509,0.159198440927618
19,2024-02-06,Simple + Baseline,2.778875256284673,2.5973931651599034,0.01831705309776117,0.01829449896091058,0.04510827370118191
19,2024-02-07,Simple + Baseline,2.8462275034736413,2.660083440993442,0.024237233044788708,0.024135843843140048,0.20277840329731933
19,2024-02-08,Simple + Baseline,2.870870343444568,2.6827035837660147,0.00865807105751433,0.008503546326398177,0.3090494622323078
19,2024-02-09,Simple + Baseline,2.925705645518087,2.7338855822223165,0.019100584670684238,0.01907851421454917,0.04414091227013521
19,2024-02-12,Simple + Baseline,3.016447525509843,2.818605401091213,0.031015382607188943,0.030988794637129467,0.053175940118948536
19,2024-02-13,Simple + Baseline,2.933963827376307,2.741360688761958,-0.02734464877508348,-0.027405294937471583,0.12129232477620741
19,2024-02-14,Simple + Baseline,3.0279609343140725,2.828830337949399,0.03203758207947057,0.0319073843679227,0.26039542309573344
19,2024-02-15,Simple + Baseline,3.0868105974188005,2.8835267461867464,0.019435410291401004,0.019335344189286466,0.20013220422908007
