seed,strategy,final_equity_gross,final_equity_net,cum_return_gross,cum_return_net,sharpe_gross,sharpe_net,max_drawdown_gross,max_drawdown_net,avg_turnover,max_turnover,avg_max_weight,avg_cost_coeff,avg_realised_tc,has_nan_weights
16,AR1 alpha + SampleCov + Enhanced + One-Step,2.748199529269025,2.483068727703259,1.748199529269025,1.4830687277032588,1.0334371709205996,0.9437482601747448,-0.24821943014037573,-0.27145965368264313,0.049946876275847145,0.050493563062918655,0.09959332894733164,0.0020000000000000005,9.923363134492385e-05,False
16,AR1 alpha + SampleCov + Enhanced + Two-Step,2.857775603046156,2.581884745434687,1.8577756030461559,1.581884745434687,1.1006005416736637,1.0072398230964186,-0.19957510131025014,-0.2120742349292939,0.049993709688031664,0.050485694179997376,0.07638995155982545,0.0020000000000000005,9.930335421596764e-05,False
16,AR1 alpha + EWMA + Basic + One-Step,3.5197804899308944,2.0078974388802395,2.5197804899308944,1.0078974388802395,1.1774394897457525,0.7187860037159189,-0.2409790001722344,-0.330011452704402,0.25754347807160105,1.6802151231074656,0.09999746502534103,0.0020000000000000005,0.0005491172860747694,False
16,AR1 alpha + EWMA + Basic + Two-Step,3.522832166324477,1.9841376002774196,2.522832166324477,0.9841376002774196,1.177883884796228,0.7089314382780149,-0.24207762349523965,-0.33311041713843703,0.263407508619263,1.6831191825245906,0.09997009729797929,0.0020000000000000005,0.0005616270832131528,False
16,AR1 alpha + EWMA + Enhanced + One-Step,3.2596218783433883,2.9446885822128213,2.2596218783433883,1.9446885822128213,1.136121759145322,1.0512226473973714,-0.3021360130462596,-0.31765855934828724,0.04984226436480543,0.05049689249739337,0.09968773871527513,0.0020000000000000005,9.945672579157774e-05,False
16,AR1 alpha + EWMA + Enhanced + Two-Step,3.225037227480149,2.9129961510631,2.225037227480149,1.9129961510631,1.2165534014645965,1.1227302354460689,-0.17559994311106786,-0.18763039725215724,0.049939334354243047,0.05067184023861802,0.06847572904583857,0.0020000000000000005,9.959771430574006e-05,False
17,Simple alpha + SampleCov + Basic + One-Step,2.415174643481247,1.6017323051787213,1.4151746434812469,0.6017323051787213,0.9694478514442214,0.5792363362369208,-0.4137675676268028,-0.5131212762854154,0.19460485165559102,1.399996852881165,0.09999788703570198,0.002,0.00040246063640855925,False
17,Simple alpha + SampleCov + Basic + Two-Step,2.4115430659447354,1.5895901938390076,1.4115430659447354,0.5895901938390076,0.9681517022128617,0.5720164588800108,-0.4133247256254403,-0.5146129269082887,0.19778920394844282,1.3892947218215876,0.09997193208124197,0.002,0.0004084278668333065,False
17,Simple alpha + SampleCov + Enhanced + One-Step,2.6295291496542093,2.376723298172796,1.6295291496542093,1.376723298172796,1.0360585573747334,0.9417885505772503,-0.37565519375549883,-0.40030418344325125,0.04971983935565149,0.05039851662255317,0.09990544969637552,0.002,9.901583108572801e-05,False
17,Simple alpha + SampleCov + Enhanced + Two-Step,2.574027703141802,2.3251272215040633,1.5740277031418022,1.3251272215040633,1.0500163439666614,0.9509671580426514,-0.33015395624652133,-0.36021799338803384,0.05003976751935859,0.050620510468167554,0.07799936476899486,0.002,9.961699929751144e-05,False
17,Simple alpha + EWMA + Basic + One-Step,2.670876272700337,1.7625021784568855,1.6708762727003368,0.7625021784568855,1.0420392141799477,0.6586436155510007,-0.3905082470368877,-0.4996181786751335,0.20373445479882832,1.1741270412880733,0.09999809575888785,0.002,0.0004073735373810026,False
17,Simple alpha + EWMA + Basic + Two-Step,2.6670747920396076,1.7471095819706133,1.6670747920396076,0.7471095819706133,1.0407990086015235,0.6505429780664489,-0.39102032030398914,-0.5022957192975144,0.20738218528920332,1.1744710972119363,0.09997556115568379,0.002,0.00041456721026376974,False
