seed,date,strategy,cost_coeff
23,2020-12-17,simple,0.0015696075114918018
23,2020-12-18,simple,0.0015480396838216098
23,2020-12-21,simple,0.0015841175068949233
23,2020-12-22,simple,0.0015954342096793437
23,2020-12-23,simple,0.001530372604138798
23,2020-12-24,simple,0.0013948228125614643
23,2020-12-28,simple,0.0013856765184732534
23,2020-12-29,simple,0.0013051898809461142
23,2020-12-30,simple,0.0012218453823291343
23,2020-12-31,simple,0.0011395314640772797
23,2021-01-04,simple,0.0012383539007816524
23,2021-01-05,simple,0.00126075124216506
23,2021-01-06,simple,0.001388291184028804
23,2021-01-07,simple,0.0014988459099332752
23,2021-01-08,simple,0.0015177717102605346
23,2021-01-11,simple,0.0015093442469001146
23,2021-01-12,simple,0.0015469490333049273
23,2021-01-13,simple,0.0015976369368652405
23,2021-01-14,simple,0.0016499679356143475
23,2021-01-15,simple,0.001612580604079117
23,2021-01-19,simple,0.0016772676252704152
23,2021-01-20,simple,0.0016944955896697259
23,2021-01-21,simple,0.00166874625095815
23,2021-01-22,simple,0.0016611057915411746
23,2021-01-25,simple,0.0017183845604584488
23,2021-01-26,simple,0.0017921744547524203
23,2021-01-27,simple,0.0020793252275255938
23,2021-01-28,simple,0.00218626945339175
23,2021-01-29,simple,0.0022600165054090697
23,2021-02-01,simple,0.0023142609347587178
23,2021-02-02,simple,0.0024029439727738275
23,2021-02-03,simple,0.0022825492778806196
23,2021-02-04,simple,0.0023475828591972892
23,2021-02-05,simple,0.0021494040787571785
23,2021-02-08,simple,0.0021773839409452815
23,2021-02-09,simple,0.002144163811033625
23,2021-02-10,simple,0.0021192136824379542
23,2021-02-11,simple,0.0021270839828722455
23,2021-02-12,simple,0.002077275483113793
23,2021-02-16,simple,0.0020414457582394983
23,2021-02-17,simple,0.0019706764202749084
23,2021-02-18,simple,0.001975185562495919
23,2021-02-19,simple,0.002057969985731847
23,2021-02-22,simple,0.0021570098176513274
23,2021-02-23,simple,0.0022052535490621325
23,2021-02-24,simple,0.002206660766866725
23,2021-02-25,simple,0.002282230620123838
23,2021-02-26,simple,0.0020941936703436008
23,2021-03-01,simple,0.0021127710962115893
23,2021-03-02,simple,0.002105832565505599
23,2021-03-03,simple,0.002158533268716929
23,2021-03-04,simple,0.0022500334935635323
23,2021-03-05,simple,0.002388982946240981
23,2021-03-08,simple,0.002492630318621016
23,2021-03-09,simple,0.0025872214438411065
23,2021-03-10,simple,0.0024973577504749703
23,2021-03-11,simple,0.0026256419081608132
23,2021-03-12,simple,0.0026399828845629623
23,2021-03-15,simple,0.0026095731871411143
23,2021-03-16,simple,0.002652405542426572
23,2021-03-17,simple,0.0026477769618610766
23,2021-03-18,simple,0.0027250090906448155
23,2021-03-19,simple,0.0026876193432175573
23,2021-03-22,simple,0.0025851702163261444
23,2021-03-23,simple,0.002680651509554175
23,2021-03-24,simple,0.002677668434990034
23,2021-03-25,simple,0.002663188468689313
23,2021-03-26,simple,0.0025613758202987624
23,2021-03-29,simple,0.002663366562928151
23,2021-03-30,simple,0.0025665805382633746
23,2021-03-31,simple,0.0025530860890365776
23,2021-04-01,simple,0.0024722689243488346
23,2021-04-05,simple,0.0022838344422287955
23,2021-04-06,simple,0.002158280248235444
23,2021-04-07,simple,0.0019476437133625702
23,2021-04-08,simple,0.001845031829158667
23,2021-04-09,simple,0.001824728424815779
23,2021-04-12,simple,0.0017055045136276491
23,2021-04-13,simple,0.0017002837221090008
23,2021-04-14,simple,0.0016676426161564258
23,2021-04-15,simple,0.001607612515027216
23,2021-04-16,simple,0.001593236595689369
23,2021-04-19,simple,0.0014949897146256342
23,2021-04-20,simple,0.0015057751045183428
23,2021-04-21,simple,0.0015621196852424505
23,2021-04-22,simple,0.001356567058480887
23,2021-04-23,simple,0.0013619993586483396
23,2021-04-26,simple,0.0013185289158102634
23,2021-04-27,simple,0.0012127770943555771
23,2021-04-28,simple,0.0010765832534822516
23,2021-04-29,simple,0.0010778100241700113
23,2021-04-30,simple,0.0010675441734889263
23,2021-05-03,simple,0.0010608842779799498
23,2021-05-04,simple,0.0011343292605494365
23,2021-05-05,simple,0.0011417077752255427
23,2021-05-06,simple,0.001214825558124657
23,2021-05-07,simple,0.00121725385353247
23,2021-05-10,simple,0.0012843406964986666
23,2021-05-11,simple,0.001308318432636869
23,2021-05-12,simple,0.0014618210800522173
23,2021-05-13,simple,0.0015220576549902338
23,2021-05-14,simple,0.0016325093315796826
23,2021-05-17,simple,0.001583942432260646
23,2021-05-18,simple,0.001616325089425911
23,2021-05-19,simple,0.0015545728381965085
23,2021-05-20,simple,0.001497253969628706
23,2021-05-21,simple,0.0014697978216892853
23,2021-05-24,simple,0.0013897590140229692
23,2021-05-25,simple,0.0013760715437158852
23,2021-05-26,simple,0.0014165533327573359
23,2021-05-27,simple,0.001410241066791913
23,2021-05-28,simple,0.0013437880688172634
23,2021-06-01,simple,0.0013179687538634234
23,2021-06-02,simple,0.0012950487348168203
23,2021-06-03,simple,0.001202356093828247
23,2021-06-04,simple,0.001167419012647864
23,2021-06-07,simple,0.0011260836938482002
23,2021-06-08,simple,0.0011053153658204039
23,2021-06-09,simple,0.0009806514273441418
23,2021-06-10,simple,0.0009521283557576794
23,2021-06-11,simple,0.0007585003144176645
23,2021-06-14,simple,0.0007278915449502814
23,2021-06-15,simple,0.0006199439564515426
23,2021-06-16,simple,0.0006370305525655224
23,2021-06-17,simple,0.0007080561076179528
23,2021-06-18,simple,0.0007905934196515645
23,2021-06-21,simple,0.0008422892623135537
23,2021-06-22,simple,0.0008779786549673028
23,2021-06-23,simple,0.0008707925736258915
23,2021-06-24,simple,0.0008670241559560648
23,2021-06-25,simple,0.0008526759364640988
23,2021-06-28,simple,0.0008611249373451599
23,2021-06-29,simple,0.000877727644206888
23,2021-06-30,simple,0.0008392050534484259
23,2021-07-01,simple,0.000811884369378268
23,2021-07-02,simple,0.0008084474025512467
23,2021-07-06,simple,0.0008589000704639807
23,2021-07-07,simple,0.0007938988111537082
23,2021-07-08,simple,0.0008188397387097352
23,2021-07-09,simple,0.0009095763784848185
23,2021-07-12,simple,0.0008798436343475977
23,2021-07-13,simple,0.0009452731664556029
23,2021-07-14,simple,0.0009653612074585434
23,2021-07-15,simple,0.0009782216668583628
23,2021-07-16,simple,0.0010368897975553874
23,2021-07-19,simple,0.0010233811305336048
23,2021-07-20,simple,0.0011351493209319332
23,2021-07-21,simple,0.001122038816381009
23,2021-07-22,simple,0.0011655950670798837
23,2021-07-23,simple,0.00119962777364104
23,2021-07-26,simple,0.0012020813746720105
23,2021-07-27,simple,0.0012004207686431437
23,2021-07-28,simple,0.0011954081332296517
23,2021-07-29,simple,0.0012941682608844705
23,2021-07-30,simple,0.0013266685334761363
23,2021-08-02,simple,0.0013062455431791934
23,2021-08-03,simple,0.0013406586058189354
23,2021-08-04,simple,0.0013653130390806046
23,2021-08-05,simple,0.001413289198764558
23,2021-08-06,simple,0.0014195748333062728
23,2021-08-09,simple,0.001411366862098844
23,2021-08-10,simple,0.001495119604879684
23,2021-08-11,simple,0.0015070617462829773
23,2021-08-12,simple,0.0014426270350279555
23,2021-08-13,simple,0.0014488906003595212
23,2021-08-16,simple,0.0014098625844243156
23,2021-08-17,simple,0.001391022326123721
23,2021-08-18,simple,0.0011898364214741647
23,2021-08-19,simple,0.0012018829995200694
23,2021-08-20,simple,0.0011681596483803678
23,2021-08-23,simple,0.0012277717833124662
23,2021-08-24,simple,0.0012156290052324579
23,2021-08-25,simple,0.0012152474241601623
23,2021-08-26,simple,0.0012064916600273774
23,2021-08-27,simple,0.0012474707561496347
23,2021-08-30,simple,0.0012382797157570705
23,2021-08-31,simple,0.0013086091424502496
23,2021-09-01,simple,0.0012938449327452545
23,2021-09-02,simple,0.001271224445787437
23,2021-09-03,simple,0.0012422104350073996
23,2021-09-07,simple,0.0012357016239365648
23,2021-09-08,simple,0.0012543222867484865
23,2021-09-09,simple,0.00119208612484685
23,2021-09-10,simple,0.001138060997558832
23,2021-09-13,simple,0.001141054235188113
23,2021-09-14,simple,0.00115861987599376
23,2021-09-15,simple,0.0011717899057526954
23,2021-09-16,simple,0.0010928021537508093
23,2021-09-17,simple,0.0011278101075130557
23,2021-09-20,simple,0.0011533087101442043
23,2021-09-21,simple,0.0011265614011454251
23,2021-09-22,simple,0.0010739537493744647
23,2021-09-23,simple,0.0011279940450366235
23,2021-09-24,simple,0.0011344207830942716
23,2021-09-27,simple,0.0011990142236316425
23,2021-09-28,simple,0.0011503973373454413
23,2021-09-29,simple,0.001160067701246643
23,2021-09-30,simple,0.001148485756796426
23,2021-10-01,simple,0.0012323671890415878
23,2021-10-04,simple,0.0012482201702158405
23,2021-10-05,simple,0.0012561514439907305
23,2021-10-06,simple,0.0012376783228810902
23,2021-10-12,simple,0.001176420889230788
23,2021-10-13,simple,0.0012045323935328113
23,2021-10-14,simple,0.0012603648059664968
23,2021-10-15,simple,0.0012634536928006583
23,2021-10-18,simple,0.0012559675535809918
23,2021-10-19,simple,0.0012547906558385265
23,2021-10-20,simple,0.0012571963912771861
23,2021-10-21,simple,0.001246512933480068
23,2021-10-22,simple,0.001144763442604777
23,2021-10-25,simple,0.0011766405644703494
23,2021-10-26,simple,0.0011630495630182449
23,2021-10-27,simple,0.0011656068410902268
23,2021-10-28,simple,0.0012789078689083566
23,2021-10-29,simple,0.0012140508416115577
23,2021-11-01,simple,0.0012222424525239303
23,2021-11-02,simple,0.0012553774708598318
23,2021-11-03,simple,0.0013205138662345283
23,2021-11-04,simple,0.001289795683854439
23,2021-11-05,simple,0.0013596238518513864
23,2021-11-08,simple,0.0013631248901470002
23,2021-11-09,simple,0.0013600424234178048
23,2021-11-10,simple,0.0013893867001304198
