seed,date,strategy,eq_gross,eq_net,rp_gross,rp_net,turnover,trading_cost_paid,cost_coeff
6,2022-11-23,enhanced,2.695969114023937,2.5390480384003946,-0.0006936042150680959,-0.0007982968568185302,0.04680355637254204,0.00010469264175043423,0.0026689977137293076
6,2022-11-25,enhanced,2.706504744767675,2.548653259897206,0.003907919674944861,0.003783001089992145,0.040132156354507814,0.00012491858495271548,0.002634390509505737
6,2022-11-28,enhanced,2.6827618763427994,2.526025693627567,-0.008772520525144562,-0.008878244296970877,0.021633151552671762,0.00010572377182631574,0.0026383127893376238
6,2022-11-29,enhanced,2.683760893045512,2.526822171367921,0.000372383666072683,0.00031530864565759004,0.03461667216175881,5.707502041509298e-05,0.00253052842558325
6,2022-11-30,enhanced,2.725929459582472,2.5663034940263616,0.015712490127653207,0.01562489165474878,0.025437227638417846,8.759847290442703e-05,0.0026478345514265103
6,2022-12-01,enhanced,2.7048352205724893,2.546271649409232,-0.007738365692417267,-0.007805719262650772,0.0268081078320387,6.735357023350415e-05,0.002572258617726836
6,2022-12-02,enhanced,2.7152602649502238,2.55590996981909,0.003854225314149736,0.003785267927753824,0.028093584530776157,6.895738639591183e-05,0.0023258911819218973
6,2022-12-05,enhanced,2.653776385059564,2.4978673803649856,-0.0226438255972442,-0.022709168217772913,0.04780841952794597,6.534262052870969e-05,0.002339689002331059
6,2022-12-06,enhanced,2.6550624330747348,2.498798469697329,0.00048461054307771215,0.0003727537096893475,0.029596378352288732,0.00011185683338836462,0.0021516211307671886
6,2022-12-07,enhanced,2.637405413379788,2.4820215316824465,-0.006650321843655723,-0.006714002036712689,0.028855435273239034,6.368019305696503e-05,0.002059747797074831
6,2022-12-08,enhanced,2.6436189720315655,2.487721497087041,0.002355936110639624,0.0022965011914019345,0.02419000314316118,5.943491923768947e-05,0.0019791133170566867
6,2022-12-09,enhanced,2.610734076677986,2.4566567655534777,-0.012439347614572438,-0.012487222371932711,0.02120993652687654,4.7874757360273396e-05,0.0018274054345384428
6,2022-12-12,enhanced,2.6199918564178657,2.465272962324487,0.0035460447015958573,0.003507285548320428,0.01734314519017059,3.875915327542961e-05,0.0013981811244063098
6,2022-12-13,enhanced,2.6555721716004754,2.4986923661062126,0.013580315181306153,0.013556066323063418,0.030687290776358206,2.4248858242734597e-05,0.0013023153757091063
6,2022-12-14,enhanced,2.632723878894771,2.477093993395201,-0.00860390576089439,-0.008643870291511297,0.02161660091297396,3.996453061690753e-05,0.001239998270139779
6,2022-12-15,enhanced,2.606828175299373,2.452662681655521,-0.009836087940323347,-0.009862892488061737,0.01751969186578209,2.6804547738389678e-05,0.00130742147333366
6,2022-12-16,enhanced,2.5884280960623824,2.435294586933616,-0.007058416588917485,-0.007081322210268998,0.021470630670668713,2.2905621351512558e-05,0.001257615449094546
6,2022-12-19,enhanced,2.5833339056405826,2.430436015626274,-0.00196806333139,-0.001995065128223236,0.03452031926472024,2.7001796833236165e-05,0.0012738719484621508
6,2022-12-20,enhanced,2.602280390838594,2.4481542519678445,0.007334121677667275,0.00729014721130399,0.049748307272167495,4.397446636328469e-05,0.0012469910193773717
6,2022-12-21,enhanced,2.652156079567078,2.494924063504897,0.0191661470854843,0.01910411139308668,0.04587975097304943,6.203569239761885e-05,0.0012837710890989619
6,2022-12-22,enhanced,2.6306323990507083,2.474529457032276,-0.00811554066602399,-0.00817443976389825,0.04557155745981421,5.889909787426082e-05,0.0012617288131293472
6,2022-12-23,enhanced,2.6141380735165103,2.4588716295579616,-0.00627009898462059,-0.006327597931726817,0.0496474721790193,5.749894710622724e-05,0.0013051551115387605
6,2022-12-27,enhanced,2.6187233325875985,2.4630252185613983,0.0017540232926258298,0.0016892256405364042,0.049663557045269424,6.479765208942544e-05,0.0013111443281553844
6,2022-12-28,enhanced,2.5706295827443846,2.4176305352705114,-0.01836534209044978,-0.018430458181585705,0.027342401395822596,6.511609113592638e-05,0.0012941777212247426
6,2022-12-29,enhanced,2.5970843907529098,2.4424252526673165,0.010291178544783572,0.010255792618052314,0.029575574304364256,3.538592673125791e-05,0.0013924833591410612
6,2022-12-30,enhanced,2.579781835573309,2.4260524954457217,-0.006662299939581325,-0.006703483434637192,0.024701622611902816,4.118349505586719e-05,0.0012430442405222278
6,2023-01-03,enhanced,2.558113286120221,2.405600683584377,-0.008399372828467304,-0.008430078038186583,0.049595869584093,3.070520971927942e-05,0.0012673262460284266
6,2023-01-04,enhanced,2.5593395076480587,2.4066025968173888,0.00047934606121280155,0.00041649191399427757,0.044246312850717326,6.2854147218524e-05,0.001303462937777607
6,2023-01-05,enhanced,2.5690031493639163,2.4155507322535046,0.0037758342287061855,0.0037181607997719625,0.049177090495177704,5.767342893422309e-05,0.0012463274468824102
6,2023-01-06,enhanced,2.6303458358741025,2.473081229262693,0.023878011408968135,0.023816720651326173,0.04945888498660585,6.129075764196007e-05,0.001355851173041142
6,2023-01-09,enhanced,2.589991275433315,2.434973568062314,-0.015341921921600471,-0.015408980808826868,0.049335838619584564,6.705888722639646e-05,0.0013587743684281804
6,2023-01-10,enhanced,2.591499869524964,2.436228637325058,0.0005824707233411553,0.0005154344503799546,0.049266312113871814,6.703627296120065e-05,0.001348990674690662
