seed,strategy,final_equity_gross,final_equity_net,sharpe_gross,sharpe_net,max_dd_gross,max_dd_net,avg_turnover,avg_max_weight,has_nan_weights
4,Simple + Baseline,2.0896026648059394,1.9603274051055382,0.7965543207559659,0.7392658941758541,-0.40773206883041,-0.42626221185127167,0.12481304184816164,0.10000008695565422,False
4,AR1 + Baseline,2.874011746161021,2.801329744381371,1.081599887334413,1.0587305144273702,-0.38532311952582166,-0.38878932917456976,0.050174092156537675,0.09984261627884303,False
4,Simple + Advanced,2.0887556593869476,1.9594406043229102,0.8006111760549275,0.7427803086044926,-0.409122802943074,-0.4273387806883824,0.12489407828445226,0.09999614619354845,False
4,AR1 + Advanced,3.017864476774923,2.9414644184922194,1.1398864209421393,1.1166184868092965,-0.3596817719759875,-0.36331919116666667,0.050243760845512325,0.0998379175780777,False
5,Simple + Baseline,3.320714798701542,3.1160684017289473,1.1230316047290885,1.0712210547390801,-0.3922095104855027,-0.4083023740442594,0.12376432588730432,0.10000016891802861,False
5,AR1 + Baseline,2.4312872643764902,2.3541617656790406,0.9026116144238832,0.8750512701948185,-0.2626821036383863,-0.2753346735846831,0.06279643031478896,0.0998437680007157,False
5,Simple + Advanced,3.355010649810843,3.153712604456941,1.1651709775639207,1.1127852193057854,-0.36951107758759905,-0.3816767600701888,0.12042925795116459,0.09999670578870201,False
5,AR1 + Advanced,2.513158512366942,2.434081907181429,0.9476723765332339,0.9196452715903483,-0.2819861973806127,-0.29453121478439925,0.06228722121756644,0.09983904224780135,False
6,Simple + Baseline,1.918756769768501,1.8064993814885502,0.7832823832460658,0.7217789865675198,-0.3489818933177605,-0.3578325100743316,0.1175048330766933,0.09999997328247903,False
6,AR1 + Baseline,2.8743557279736267,2.807524989077255,1.1743515028894018,1.1508226522867544,-0.2687154282166343,-0.27439450180515734,0.04591324114327866,0.09984285351356843,False
6,Simple + Advanced,1.8458493545552874,1.7370484535607518,0.7483129573807789,0.6858102548995134,-0.3528445237421214,-0.36164442825261467,0.11838940848744797,0.09999535178261054,False
6,AR1 + Advanced,2.6584958432894097,2.594784296378383,1.1160111877008276,1.0911949265082395,-0.27984682624644275,-0.2855676005147433,0.047333860464064376,0.09983841844894915,False
7,Simple + Baseline,1.8589997012338944,1.7511427866116733,0.6898322535379955,0.6362206000789352,-0.4401381207791657,-0.46150070284586364,0.11614816741245088,0.10000005239853772,False
7,AR1 + Baseline,1.8642143214453677,1.8214910726450166,0.7447042316987321,0.7215454224898044,-0.3518817406596988,-0.3548284359607088,0.045181701445440016,0.09984280333564641,False
7,Simple + Advanced,1.7861447246297504,1.6824169100905497,0.6614993432101901,0.6068354770007257,-0.420928105550328,-0.44275093437986734,0.11624053491724147,0.09999638148653525,False
7,AR1 + Advanced,2.010960312278599,1.9640854678762638,0.8211954966894963,0.797671728708151,-0.34667581916997214,-0.34953063296770437,0.04601919186528501,0.09983925510370503,False
