seed,strategy,final_equity_gross,final_equity_net,cum_return_gross,cum_return_net,sharpe_gross,sharpe_net,max_drawdown_gross,max_drawdown_net,avg_turnover,max_turnover,avg_max_weight,has_nan_weights,avg_cost_coeff,avg_realised_tc
19,simple,2.408818874152053,1.930022027171575,1.408818874152053,0.9300220271715748,1.0288705429895468,0.8009087171635519,-0.370868090412725,-0.4216457230657842,0.0925729393889899,0.7386009173431175,0.099997332099507,False,0.002,0.0002164547160849
19,enhanced,2.4693954503526854,2.2882516727266884,1.4693954503526854,1.2882516727266884,1.058884720992305,0.979938436804099,-0.3786824288516069,-0.3982691779060894,0.0360765392282617,0.050515429246881,0.0998250738904756,False,0.002,7.434110159341608e-05
20,simple,3.752307526057923,2.9659988081764905,2.752307526057923,1.9659988081764903,1.2205542580058322,1.0313425693097409,-0.2515004028626617,-0.2944851761582576,0.0959308370715882,0.845069414530657,0.0999981195709261,False,0.0019999999999999,0.000229944167824
20,enhanced,3.8942002997549032,3.580761450625223,2.8942002997549032,2.580761450625223,1.252447480796114,1.1848390603975885,-0.2281829245965746,-0.2406848110141477,0.0390985764982688,0.0504059829196084,0.0998548621404983,False,0.0019999999999999,8.2096829920741e-05
21,simple,2.8680436272339938,2.286066902017952,1.8680436272339935,1.2860669020179514,1.0781170320304387,0.8772570441352261,-0.2621411024536362,-0.2855528896445146,0.0933413338568938,0.8817557778669924,0.0999979427584315,False,0.0019999999999999,0.0002234976552737
21,enhanced,3.1786577203599893,2.946161876552352,2.1786577203599893,1.946161876552352,1.170583361161851,1.1031204119182,-0.2628128171357375,-0.2761391219024393,0.036332628127195,0.0503949259052918,0.0999087429599836,False,0.0019999999999999,7.479480676239516e-05
22,simple,2.6810498882896794,2.1329224787830072,1.6810498882896794,1.1329224787830072,1.0790373600438583,0.8601105763129977,-0.2926021724044492,-0.3581498230067895,0.0962448899707791,0.9800956597276174,0.099997716601121,False,0.0019999999999999,0.0002239242320186
22,enhanced,2.986227421573892,2.7792094692041363,1.986227421573892,1.7792094692041365,1.1854881382015965,1.1163413532891102,-0.3078232931499466,-0.3270731826110591,0.0341941257400465,0.0502083976764168,0.0996019474728029,False,0.0019999999999999,7.026570967621942e-05
23,simple,2.768294195629622,2.1973643231779323,1.768294195629622,1.1973643231779325,1.0785491334817168,0.8656731821214404,-0.3939317229030558,-0.4230723303677652,0.096216984237705,0.879870025555066,0.09999792745205,False,0.002,0.0002268935703962
23,enhanced,3.340783306618419,3.0863584949885885,2.340783306618419,2.0863584949885885,1.246274035766319,1.1737130309417882,-0.3581798937643192,-0.3688978359077249,0.037716220346192,0.0504916071040634,0.0999090293016633,False,0.002,7.77512543784162e-05
24,simple,2.429343876149408,1.9565696447393908,1.429343876149408,0.9565696447393908,1.0550638029141035,0.8280659889478866,-0.2373312056387245,-0.264255645659046,0.0858219899748891,0.6792212412838726,0.0999971806393718,False,0.002,0.0002118616567001
24,enhanced,2.519640545878878,2.3430237263384406,1.519640545878878,1.3430237263384406,1.0893660768340063,1.0133557449997577,-0.2428091777884466,-0.2540736599469601,0.0332954088315173,0.0506134096005179,0.0998208636254669,False,0.002,7.107977107441232e-05
25,simple,3.577115117415665,2.9061975084097864,2.577115117415665,1.9061975084097864,1.3328664338999656,1.1396708672361842,-0.2595374991051712,-0.2910221336828139,0.0848209610492932,0.7434388598218055,0.0999981802137791,False,0.002,0.0002032343899646
25,enhanced,3.838717776543965,3.573071049587846,2.838717776543965,2.573071049587846,1.398935705020898,1.3317645329032064,-0.2296388166632926,-0.2419145989212494,0.0331497807398693,0.0504363581607969,0.0998561939000355,False,0.002,7.002533693794415e-05
