seed,name,avg_turnover,max_turnover,avg_max_weight,avg_cost_coeff,avg_realised_tc,has_nan_weights,gross_n_obs,gross_mean_daily,gross_vol_daily,gross_ann_return,gross_ann_vol,gross_sharpe,gross_max_drawdown,gross_cum_return,net_n_obs,net_mean_daily,net_vol_daily,net_ann_return,net_ann_vol,net_sharpe,net_max_drawdown,net_cum_return
2,Simple + EWMA Covariance + Two-Step,0.20405681363769462,0.7298573045785685,0.0999744849952599,0.0019999999999999996,0.00041733654051821485,False,1016,0.0010304551724713055,0.0166308386288168,0.259674703462769,0.2640063786377741,0.9835925359176707,-0.326479784140851,1.4749815863864915,1016,0.0006131186319530907,0.01670298427077941,0.15450589525217887,0.26515165519863515,0.5827076400350307,-0.4166366221794534,0.617952119278735
2,Simple + Sample Covariance + One-Step,0.20834101988189302,0.869480405386689,0.0999977290120801,0.0019999999999999996,0.00043338415740538266,False,1016,0.00088844957957077,0.015885842471328845,0.22388929405183403,0.2521799312753031,0.887815667644923,-0.3789613007738565,1.1689170314562722,1016,0.00045506542216538733,0.015918144356411288,0.11467648638567761,0.2526927078041435,0.45381794901086264,-0.4848186309143766,0.395841926707051
2,Simple + Sample Covariance + Two-Step,0.21206603618021008,0.8653727222068188,0.09997495421977402,0.0019999999999999996,0.00044114176797868914,False,1016,0.0008858523091747946,0.015880056938772914,0.22323478191204824,0.25208808879323275,0.8855427599958897,-0.37937718346039484,1.16340608237754,1016,0.0004447105411961054,0.015912272600083238,0.11206705638141856,0.2525994965621243,0.4436551058361147,-0.4872722980394454,0.3813682325492629
3,AR1 + Sample Covariance + One-Step,0.21691579184740953,1.5447607309186078,0.09984034161664132,0.0019999999999999996,0.00044408359989712884,False,1014,0.0014309631886013745,0.019534263794437127,0.36060272352754635,0.3100968242688816,1.1628713850189953,-0.20944525339254605,2.543180920955955,1014,0.0009868795887042455,0.01948496041430468,0.24869365635346985,0.30931415737312956,0.8040164034699115,-0.29679683636265564,1.261265986860887
3,Simple + Sample Covariance + One-Step,0.18772453248963006,0.7830771301315229,0.0999977128574022,0.0019999999999999996,0.00038057708355908435,False,1014,0.001399014443202891,0.020291276407742555,0.3525516396871285,0.3221140269537532,1.0944932855648206,-0.35398760154207354,2.38114286205696,1014,0.0010184373596438063,0.02028738569241724,0.2566462146302392,0.32205226376271556,0.7969085875432106,-0.4443952898036385,1.2992040128581461
3,AR1 + Sample Covariance + Two-Step,0.22286068886994356,1.5352807015393883,0.09981652341723475,0.0019999999999999996,0.000455856242938403,False,1014,0.0014333635378055434,0.019524049415382976,0.36120761152699693,0.3099346760282362,1.165431426247025,-0.2094272468949141,2.552376758209912,1014,0.0009775072948671405,0.01947512770555499,0.24633183830651942,0.3091580679607347,0.796782823528983,-0.2992001565424607,1.2402350993657234
3,AR1 + EWMA Covariance + One-Step,0.22542573577981082,1.7616162799122184,0.09999719547334274,0.0019999999999999996,0.000454581408928696,False,1014,0.0014612937963038254,0.020133523098793963,0.368246036668564,0.3196097708099001,1.1521739017409205,-0.20379936668882515,2.6088709267232195,1014,0.0010067123873751297,0.020118300886011235,0.2536915216185327,0.31936812567333683,0.7943545433147549,-0.32667943882916495,1.2773603410854641
3,Simple + Sample Covariance + Two-Step,0.19080584907660833,0.7798931887225788,0.09997586257167161,0.0019999999999999996,0.000386608746925887,False,1014,0.0013958764370508572,0.020282003007304192,0.351760862136816,0.32196681628554624,1.0925376291724611,-0.3544078048038626,2.370935982044704,1014,0.0010092676901249703,0.020278211868440595,0.25433545791149254,0.3219066338218335,0.7900907629392324,-0.4464551628713753,1.2782900854766637
3,AR1 + EWMA Covariance + Two-Step,0.23104408741104077,1.752929430237272,0.09997147961310403,0.0019999999999999996,0.00046634751233526854,False,1014,0.0014621486924732544,0.020125822085441912,0.3684614705032601,0.3194875210128638,1.153289084140549,-0.20368724302115793,2.61243529182502,1014,0.000995801180137986,0.020110725476880843,0.25094189739477246,0.3192478697815053,0.7860409454463023,-0.33095118078050856,1.2525881567655937
3,Simple + EWMA Covariance + One-Step,0.18798961027176936,0.690360753859717,0.09999767758686615,0.0019999999999999996,0.00038214069562639784,False,1014,0.001338093465225495,0.020767081416064943,0.3371995532368247,0.3296671973012335,1.0228483634321328,-0.35691282390688683,2.143243786282294,1014,0.000955952769599097,0.020813150285366164,0.24090009793897246,0.3303985179293513,0.7291197897881727,-0.44790898012451386,1.131785728999028
